,CustomerID,Recency,Monetary,Frequency,Category
0,12346,326,77183.6,1,-1
1,12747,3,4196.01,11,0
2,12748,1,33053.19000000001,210,-1
3,12749,4,4090.880000000001,5,0
4,12820,4,942.34,4,0
5,12821,215,92.72,1,0
6,12822,71,948.8799999999998,2,0
7,12823,75,1759.5,5,0
8,12824,60,397.11999999999995,1,0
9,12826,3,1474.7199999999998,7,0
10,12827,6,430.15,3,0
11,12828,3,1018.7099999999999,6,0
12,12829,337,293.0,2,0
13,12830,38,6814.639999999999,6,0
14,12831,263,215.05,1,0
15,12832,33,383.03,2,0
16,12833,146,417.37999999999994,1,0
17,12834,283,312.38,1,0
18,12836,60,2610.36,4,0
19,12837,174,134.1,1,0
20,12838,34,671.9499999999998,2,0
21,12839,3,5591.420000000001,14,0
22,12840,144,2726.77,4,0
23,12841,5,3991.58,25,0
24,12842,71,1118.99,2,0
25,12843,66,1702.2600000000002,8,0
26,12844,30,325.96000000000004,2,0
27,12845,268,354.09,4,0
28,12847,23,843.6399999999999,1,0
29,12849,32,1010.29,2,0
30,12851,97,131.80999999999997,1,0
31,12852,295,311.54999999999995,1,0
32,12853,135,1957.1000000000001,6,0
33,12854,79,1316.25,3,0
34,12855,373,38.1,1,0
35,12856,8,2170.78,6,0
36,12857,211,1106.4,2,0
37,12863,53,521.2,1,0
38,12864,139,147.12,1,0
39,12867,27,4009.34,7,0
40,12868,186,1607.06,6,0
41,12871,85,380.64,2,0
42,12872,327,599.97,2,0
43,12873,283,374.0,1,0
44,12875,144,343.2300000000001,2,0
45,12877,4,1535.77,12,0
46,12878,237,854.99,2,0
47,12879,45,573.22,3,0
48,12881,276,298.0,1,0
49,12882,10,1463.04,2,0
50,12883,25,703.4700000000001,4,0
51,12884,89,309.05000000000007,1,0
52,12885,64,1175.2200000000003,3,0
53,12886,68,1378.4,2,0
54,12888,215,354.12,2,0
55,12890,25,376.7199999999999,1,0
56,12891,186,331.0,3,0
57,12893,31,176.55,1,0
58,12895,43,372.79999999999995,2,0
59,12897,205,216.5,2,0
60,12901,9,17654.54,28,0
61,12902,265,138.68,1,0
62,12904,19,496.05999999999995,2,0
63,12906,12,2919.8099999999995,5,0
64,12908,177,750.0,2,0
65,12909,40,2178.67,5,0
66,12910,24,3075.0400000000004,8,0
67,12912,3,1662.3000000000002,5,0
68,12913,5,2483.63,5,0
69,12915,149,363.65,2,0
70,12916,139,2944.95,4,0
71,12917,129,594.0,1,0
72,12919,9,1335.19,6,0
73,12920,18,162.78000000000003,1,0
74,12921,10,16587.090000000004,37,-1
75,12922,162,405.38,1,0
76,12923,65,172.82,1,0
77,12924,89,933.7,4,0
78,12925,5,694.05,2,0
79,12928,36,2062.7,5,0
80,12929,312,117.85000000000001,1,0
81,12930,79,415.8,2,0
82,12931,22,42055.95999999999,15,-1
83,12933,25,607.53,3,0
84,12935,3,2160.7,7,0
85,12936,18,1063.9,4,0
86,12937,16,1504.2699999999995,4,0
87,12938,26,114.14,1,0
88,12939,65,11581.800000000001,8,0
89,12940,55,899.69,2,0
90,12942,132,675.5999999999999,3,0
91,12944,36,604.51,2,0
92,12945,289,462.95000000000005,1,0
93,12947,144,1603.9899999999998,6,0
94,12948,17,2064.95,7,0
95,12949,31,4167.219999999999,8,0
96,12950,3,1843.0,3,0
97,12951,9,1064.0700000000002,6,0
98,12952,6,1387.79,4,0
99,12953,10,329.84999999999997,1,0
100,12955,2,4757.16,11,0
101,12956,307,108.07,1,0
102,12957,10,4017.54,8,0
103,12962,8,266.39000000000004,2,0
104,12963,9,1856.6300000000003,8,0
105,12965,90,769.8099999999997,1,0
106,12966,10,160.18,1,0
107,12967,359,1660.9,2,0
108,12968,113,135.95,1,0
109,12970,8,405.46999999999986,4,0
110,12971,4,11189.909999999996,86,-1
111,12974,198,144.8,1,0
112,12976,212,738.6,1,0
113,12977,157,39.24,1,0
114,12980,158,7374.900000000001,9,-1
115,12981,30,372.22,2,0
116,12982,243,390.53999999999996,1,0
117,12984,19,97.5,1,0
118,12985,1,1239.3799999999999,2,0
119,12987,74,558.7,2,0
120,12988,293,505.82,1,0
121,12989,4,6924.109999999999,15,0
122,12990,32,409.5,3,0
123,12991,24,503.76,2,0
124,12993,24,414.76000000000005,4,0
125,12994,5,974.4200000000001,3,0
126,12995,86,211.32,1,0
127,12997,23,1226.8899999999999,4,0
128,12999,197,455.87999999999994,3,0
129,13000,107,534.85,3,0
130,13001,5,9785.97,13,0
131,13002,319,120.94999999999999,1,0
132,13003,106,149.05,3,0
133,13004,12,5655.91,18,0
134,13005,174,513.7,2,0
135,13006,57,81.57,1,0
136,13008,324,229.47000000000003,1,0
137,13011,373,50.550000000000004,1,0
138,13012,10,1646.8400000000001,8,0
139,13013,2,4810.9400000000005,13,0
140,13014,11,3466.28,10,0
141,13015,54,3339.6399999999994,5,0
142,13016,74,789.8899999999999,3,0
143,13017,8,204.0,1,0
144,13018,17,7277.699999999999,28,0
145,13021,5,2616.3799999999997,9,0
146,13023,65,689.9000000000001,2,0
147,13026,2,975.3600000000001,5,0
148,13027,114,6912.0,6,0
149,13028,23,661.3199999999999,2,0
150,13029,31,1247.5,3,0
151,13030,12,752.44,2,0
152,13032,53,1010.18,2,0
153,13033,358,190.54999999999998,1,0
154,13034,55,642.7700000000001,2,0
155,13035,74,921.8799999999999,2,0
156,13037,139,881.0699999999999,3,0
157,13038,81,908.46,3,0
158,13040,9,676.99,2,0
159,13043,274,516.4200000000001,1,0
160,13044,292,560.4700000000001,1,0
161,13045,100,305.28,1,0
162,13046,31,629.31,2,0
163,13047,32,3237.54,10,0
164,13048,15,1819.41,4,0
165,13049,65,656.6800000000001,2,0
166,13050,15,5836.86,17,0
167,13052,213,348.15000000000003,1,0
168,13055,79,1214.4099999999996,3,0
169,13058,25,271.4,3,0
170,13059,250,183.4,1,0
171,13060,254,307.53000000000003,1,0
172,13061,73,248.61,1,0
173,13062,192,346.98,1,0
174,13064,13,1105.59,4,0
175,13065,374,205.85999999999999,1,0
176,13066,25,470.80000000000007,2,0
177,13067,83,115.46000000000002,1,0
178,13068,11,344.0,2,0
179,13069,1,4431.44,24,0
180,13070,193,228.8,1,0
181,13072,267,177.14999999999998,1,0
182,13075,130,919.61,1,0
183,13077,2,728.0200000000001,4,0
184,13078,4,12627.939999999999,26,0
185,13079,5,220.10000000000002,5,0
186,13080,180,58.08,1,0
187,13081,12,28337.37999999999,11,-1
188,13082,127,3613.63,9,0
189,13083,5,303.75,2,0
190,13085,158,416.08000000000004,2,0
191,13089,3,58762.08,97,-1
192,13090,9,8910.82,14,0
193,13091,29,345.82,1,0
194,13092,71,477.83,5,0
195,13093,276,7832.47,8,-1
196,13094,22,1927.3200000000004,12,0
197,13095,71,74.4,1,0
198,13097,33,6003.22,10,0
199,13098,2,28882.440000000006,28,-1
200,13099,100,207.35999999999999,1,0
201,13101,235,101.18999999999998,1,0
202,13102,2,6424.09,24,0
203,13103,40,243.94,1,0
204,13104,4,1098.48,6,0
205,13106,134,76.5,1,0
206,13107,45,1531.6200000000001,4,0
207,13108,373,350.05999999999995,1,0
208,13109,60,786.5400000000001,2,0
209,13110,32,1488.6699999999998,7,0
210,13113,1,12245.96,24,0
211,13115,12,2294.78,4,0
212,13116,139,501.14000000000004,1,0
213,13117,22,984.91,8,0
214,13118,20,1197.8100000000002,5,0
215,13120,239,30.599999999999998,1,0
216,13121,270,283.7299999999999,1,0
217,13122,95,922.3900000000002,2,0
218,13124,90,3756.330000000001,3,0
219,13126,5,2099.64,8,0
220,13127,78,259.16999999999996,1,0
221,13130,95,64.0,1,0
222,13131,24,1073.3,3,0
223,13132,262,77.3,1,0
224,13133,274,109.8,2,0
225,13134,86,1793.58,4,0
226,13135,197,3096.0,1,0
227,13136,57,2607.6099999999997,5,0
228,13137,11,3603.2900000000004,8,0
229,13138,23,962.3900000000001,6,0
230,13139,17,5064.9400000000005,7,0
231,13140,109,422.46999999999997,3,0
232,13141,85,2388.75,5,0
233,13142,20,307.0899999999999,1,0
234,13144,333,110.94999999999999,1,0
235,13145,40,618.52,4,0
236,13146,27,228.91,1,0
237,13147,11,712.8000000000001,4,0
238,13148,30,3683.2599999999998,12,0
239,13149,15,1676.06,4,0
240,13151,296,1257.8700000000003,1,0
241,13153,6,486.22,1,0
242,13155,34,971.7599999999998,4,0
243,13157,50,1741.2199999999998,4,0
244,13158,95,1201.06,4,0
245,13159,9,1429.35,4,0
246,13160,23,91.8,1,0
247,13161,314,112.75,1,0
248,13162,123,1688.29,4,0
249,13165,47,1021.4799999999999,2,0
250,13166,284,417.19999999999993,1,0
251,13167,19,791.33,4,0
252,13168,37,1299.59,4,0
253,13169,64,712.8799999999999,2,0
254,13170,27,108.81000000000002,1,0
255,13171,22,468.40999999999997,3,0
256,13173,5,353.65,2,0
257,13174,17,2742.82,3,0
258,13176,47,481.49000000000007,1,0
259,13177,65,282.45,1,0
260,13178,27,5725.469999999999,11,0
261,13182,46,121.17999999999999,1,0
262,13183,8,3957.7800000000007,9,0
263,13184,15,1668.9499999999998,10,0
264,13185,268,71.4,1,0
265,13186,40,1575.8899999999999,3,0
266,13187,338,236.01999999999995,1,0
267,13188,12,114.60000000000001,1,0
268,13189,19,260.68,2,0
269,13192,96,911.94,2,0
270,13193,62,112.08,1,0
271,13194,136,60.7,1,0
272,13196,12,1797.7800000000007,4,0
273,13198,11,3401.2400000000002,6,0
274,13199,4,9817.119999999999,38,1
275,13200,20,870.0900000000001,4,0
276,13203,10,869.46,4,0
277,13207,16,250.26000000000005,2,0
278,13208,59,1217.65,6,0
279,13209,31,5891.61,8,0
280,13210,94,353.47999999999996,1,0
281,13211,11,1095.42,3,0
282,13212,20,786.8299999999998,3,0
283,13213,57,1520.58,5,0
284,13216,268,333.74,1,0
285,13217,123,533.98,3,0
286,13218,128,62.64,1,0
287,13220,79,819.29,4,0
288,13221,241,847.4100000000002,2,0
289,13223,201,163.20000000000002,2,0
290,13224,61,2155.9500000000007,2,0
291,13225,4,6463.84,7,0
292,13226,274,108.21000000000001,1,0
293,13227,202,257.7,1,0
294,13228,82,358.0,1,0
295,13229,226,160.95,1,0
296,13230,5,2755.63,14,0
297,13232,13,1328.35,7,0
298,13233,75,605.12,2,0
299,13235,213,1031.0699999999997,1,0
300,13236,25,744.8499999999999,2,0
301,13238,18,700.73,4,0
302,13239,262,329.56,1,0
303,13240,97,663.6499999999999,4,0
304,13242,113,270.4,3,0
305,13243,204,585.1200000000001,1,0
306,13244,93,121.74000000000001,1,0
307,13245,51,430.5,1,0
308,13246,19,1961.5200000000002,6,0
309,13247,18,501.11999999999995,4,0
310,13248,125,465.67999999999995,2,0
311,13249,93,711.4100000000001,3,0
312,13253,157,1030.4,2,0
313,13255,10,399.51,2,0
314,13256,15,0.0,1,0
315,13258,12,672.83,3,0
316,13259,62,283.1799999999999,1,0
317,13260,62,557.6200000000001,1,0
318,13261,269,944.1,2,0
319,13262,264,200.29000000000002,1,0
320,13263,2,7436.929999999999,35,1
321,13265,54,2092.66,5,0
322,13266,12,3834.26,12,0
323,13267,3,4521.49,19,0
324,13268,18,3174.75,11,0
325,13269,2,5343.28,15,0
326,13270,367,590.0,1,0
327,13271,38,211.48999999999992,1,0
328,13272,32,276.56,2,0
329,13273,114,138.97999999999996,1,0
330,13276,64,590.9300000000001,2,0
331,13277,16,258.4,4,0
332,13278,41,542.73,1,0
333,13279,79,137.75,1,0
334,13280,123,798.46,3,0
335,13282,19,1132.14,3,0
336,13283,60,93.66,2,0
337,13284,331,201.19,1,0
338,13285,24,2709.1199999999994,4,0
339,13291,156,361.10999999999996,1,0
340,13292,39,578.94,2,0
341,13294,190,873.74,2,0
342,13295,360,201.2,1,0
343,13296,138,87.4,1,0
344,13297,8,2089.8500000000004,4,0
345,13298,2,360.0,1,0
346,13299,269,142.5,1,0
347,13300,170,371.89000000000004,1,0
348,13301,104,618.0899999999999,4,0
349,13302,156,63.75,1,0
350,13304,352,300.4199999999999,1,0
351,13305,5,2000.8600000000001,10,0
352,13307,121,15.0,1,0
353,13308,23,1385.5100000000002,3,0
354,13309,8,1456.79,5,0
355,13310,29,1132.0300000000002,3,0
356,13311,5,598.57,2,0
357,13313,23,1555.32,5,0
358,13314,2,775.9400000000003,3,0
359,13316,38,5732.93,4,0
360,13317,67,2273.68,6,0
361,13318,2,640.76,3,0
362,13319,6,10845.55,26,0
363,13320,79,1532.1999999999998,4,0
364,13321,73,567.3599999999999,2,0
365,13322,18,199.48,1,0
366,13323,4,787.8499999999999,5,0
367,13324,37,7121.95,10,0
368,13325,82,675.3,1,0
369,13327,39,3627.7700000000004,8,0
370,13328,317,1308.48,1,0
371,13329,32,788.9999999999999,2,0
372,13330,93,1140.93,3,0
