,CustomerID,Recency,Monetary,Frequency,Category
0,12346,326,77183.6,1,
1,12747,3,4196.01,11,
2,12748,1,33053.19000000001,210,
3,12749,4,4090.880000000001,5,SOUL MATE
4,12820,4,942.34,4,RECENT AVARAGE MATE
5,12821,215,92.72,1,
6,12822,71,948.8799999999998,2,CASUAL AVARAGE MATE
7,12823,75,1759.5,5,CASUAL AVARAGE MATE
8,12824,60,397.11999999999995,1,
9,12826,3,1474.7199999999998,7,
10,12827,6,430.15,3,RECENT AVARAGE MATE
11,12828,3,1018.7099999999999,6,
12,12829,337,293.0,2,
13,12830,38,6814.639999999999,6,
14,12831,263,215.05,1,
15,12832,33,383.03,2,RECENT AVARAGE MATE
16,12833,146,417.37999999999994,1,
17,12834,283,312.38,1,
18,12836,60,2610.36,4,RECENT AVARAGE MATE
19,12837,174,134.1,1,
20,12838,34,671.9499999999998,2,RECENT AVARAGE MATE
21,12839,3,5591.420000000001,14,
22,12840,144,2726.77,4,CASUAL AVARAGE MATE
23,12841,5,3991.58,25,
24,12842,71,1118.99,2,CASUAL AVARAGE MATE
25,12843,66,1702.2600000000002,8,SOUL MATE
26,12844,30,325.96000000000004,2,RECENT AVARAGE MATE
27,12845,268,354.09,4,EX MATE
28,12847,23,843.6399999999999,1,
29,12849,32,1010.29,2,RECENT AVARAGE MATE
30,12851,97,131.80999999999997,1,
31,12852,295,311.54999999999995,1,
32,12853,135,1957.1000000000001,6,CASUAL AVARAGE MATE
33,12854,79,1316.25,3,CASUAL AVARAGE MATE
34,12855,373,38.1,1,
35,12856,8,2170.78,6,SOUL MATE
36,12857,211,1106.4,2,EX MATE
37,12863,53,521.2,1,
38,12864,139,147.12,1,
39,12867,27,4009.34,7,SOUL MATE
40,12868,186,1607.06,6,EX MATE
41,12871,85,380.64,2,CASUAL AVARAGE MATE
42,12872,327,599.97,2,
43,12873,283,374.0,1,
44,12875,144,343.2300000000001,2,CASUAL AVARAGE MATE
45,12877,4,1535.77,12,SOUL MATE
46,12878,237,854.99,2,EX MATE
47,12879,45,573.22,3,RECENT AVARAGE MATE
48,12881,276,298.0,1,
49,12882,10,1463.04,2,RECENT AVARAGE MATE
50,12883,25,703.4700000000001,4,RECENT AVARAGE MATE
51,12884,89,309.05000000000007,1,
52,12885,64,1175.2200000000003,3,CASUAL AVARAGE MATE
53,12886,68,1378.4,2,CASUAL AVARAGE MATE
54,12888,215,354.12,2,EX MATE
55,12890,25,376.7199999999999,1,
56,12891,186,331.0,3,EX MATE
57,12893,31,176.55,1,
58,12895,43,372.79999999999995,2,RECENT AVARAGE MATE
59,12897,205,216.5,2,EX MATE
60,12901,9,17654.54,28,
61,12902,265,138.68,1,
62,12904,19,496.05999999999995,2,RECENT AVARAGE MATE
63,12906,12,2919.8099999999995,5,RECENT AVARAGE MATE
64,12908,177,750.0,2,EX MATE
65,12909,40,2178.67,5,RECENT AVARAGE MATE
66,12910,24,3075.0400000000004,8,SOUL MATE
67,12912,3,1662.3000000000002,5,
68,12913,5,2483.63,5,RECENT AVARAGE MATE
69,12915,149,363.65,2,CASUAL AVARAGE MATE
70,12916,139,2944.95,4,CASUAL AVARAGE MATE
71,12917,129,594.0,1,
72,12919,9,1335.19,6,SOUL MATE
73,12920,18,162.78000000000003,1,
74,12921,10,16587.090000000004,37,
75,12922,162,405.38,1,
76,12923,65,172.82,1,
77,12924,89,933.7,4,CASUAL AVARAGE MATE
78,12925,5,694.05,2,RECENT AVARAGE MATE
79,12928,36,2062.7,5,RECENT AVARAGE MATE
80,12929,312,117.85000000000001,1,
81,12930,79,415.8,2,CASUAL AVARAGE MATE
82,12931,22,42055.95999999999,15,
83,12933,25,607.53,3,RECENT AVARAGE MATE
84,12935,3,2160.7,7,
85,12936,18,1063.9,4,RECENT AVARAGE MATE
86,12937,16,1504.2699999999995,4,RECENT AVARAGE MATE
87,12938,26,114.14,1,
88,12939,65,11581.800000000001,8,
